PCO_Name,PCO_Code,_7_day_QI,all_QI,percent_7_day_QI
CHORLEY AND SOUTH RIBBLE CCG,00X00,1785,278743,0.006403748255561574
SOUTH CHESHIRE CCG,01R00,2023,316695,0.006387849508201897
BASSETLAW CCG,02Q00,1484,239477,0.0061968372745608135
GREAT YARMOUTH & WAVENEY CCG,06M00,2156,379693,0.00567827165631181
COVENTRY AND RUGBY CCG,05A00,3108,570282,0.005449935295169758
HALTON CCG,01F00,1211,223272,0.005423877602207174
RUSHCLIFFE CCG,04N00,952,178081,0.005345881930132917
LEWISHAM CCG,08L00,1505,291506,0.005162843989489067
WARRINGTON CCG,02E00,1491,290975,0.005124151559412321
SOUTHEND CCG,99G00,791,154562,0.005117687400525355
HARROGATE AND RURAL DISTRICT CCG,03E00,1169,242267,0.00482525478088225
THANET CCG,10E00,798,167198,0.004772784363449324
ASHFORD CCG,09C00,567,120847,0.00469188312494311
ROTHERHAM CCG,03L00,2079,453203,0.004587348274393594
KNOWSLEY CCG,01J00,945,214388,0.004407895964326361
CANTERBURY AND COASTAL CCG,09E00,959,228731,0.004192697972727789
REDDITCH AND BROMSGROVE CCG,05J00,1246,308959,0.004032897568933095
BLACKBURN WITH DARWEN CCG,00Q00,1113,293240,0.0037955258491338155
SOUTHAMPTON CCG,10X00,1617,426285,0.0037932369189626657
NORTH STAFFORDSHIRE CCG,05G00,1820,484546,0.0037560933327279557
BROMLEY CCG,07Q00,1995,557614,0.0035777437438801753
HORSHAM AND MID SUSSEX CCG,09X00,1183,349486,0.00338497107180259
SOMERSET CCG,11X00,3612,1092359,0.0033066052460775258
WIRRAL CCG,12F00,1344,419552,0.003203416978109984
SOUTH KENT COAST CCG,10A00,679,225304,0.003013705926215247
ST HELENS CCG,01X00,910,359801,0.002529175849983741
BURY CCG,00V00,665,294128,0.0022609204156013706
WIGAN BOROUGH CCG,02H00,707,330758,0.0021375144365366823
CORBY CCG,03V00,98,130886,0.0007487431810888865
