,chemical_code,chemical,month,TotalItems,TotalCost
273,0208020V0,Warfarin Sodium,2010-09-01,761936,1703657.8600000013
274,0208020V0,Warfarin Sodium,2015-08-01,911709,1662398.06
275,0208020V0,Warfarin Sodium,2013-03-01,883831,1296234.9699999995
276,0208020V0,Warfarin Sodium,2017-11-01,769956,980234.8865099829
277,0208020V0,Warfarin Sodium,2015-02-01,885739,1677517.4999999998
278,0208020V0,Warfarin Sodium,2011-04-01,729998,1208510.0499999993
279,0208020V0,Warfarin Sodium,2017-12-01,776121,985835.2369199952
280,0208020V0,Warfarin Sodium,2014-02-01,870497,1453932.490000001
281,0208020V0,Warfarin Sodium,2016-11-01,882595,1305742.0700000008
282,0208020V0,Warfarin Sodium,2018-01-01,747331,828592.5153399968
283,0208020V0,Warfarin Sodium,2013-10-01,963737,1582161.0799999998
284,0208020V0,Warfarin Sodium,2017-02-01,765474,1065256.4240800007
285,0208020V0,Warfarin Sodium,2014-04-01,937809,1467370.0000000002
286,0208020V0,Warfarin Sodium,2014-07-01,1004406,1632298.6800000002
287,0208020V0,Warfarin Sodium,2015-09-01,964764,1763008.75
288,0208020V0,Warfarin Sodium,2014-03-01,931675,1558475.3099999994
289,0208020V0,Warfarin Sodium,2012-06-01,816491,1331491.7599999998
290,0208020V0,Warfarin Sodium,2014-11-01,917955,1690373.4499999986
291,0208020V0,Warfarin Sodium,2017-07-01,788069,1076238.0687800013
292,0208020V0,Warfarin Sodium,2015-03-01,975069,1849506.0199999996
293,0208020V0,Warfarin Sodium,2017-01-01,828629,1152367.6332899993
294,0208020V0,Warfarin Sodium,2014-05-01,968669,1521572.0900000008
295,0208020V0,Warfarin Sodium,2013-05-01,950050,1574798.6999999997
296,0208020V0,Warfarin Sodium,2011-02-01,701288,1284509.4899999993
297,0208020V0,Warfarin Sodium,2017-10-01,763465,965183.2504500174
298,0208020V0,Warfarin Sodium,2011-10-01,768193,1124509.079999999
299,0208020V0,Warfarin Sodium,2010-11-01,748555,1352662.860000001
300,0208020V0,Warfarin Sodium,2013-09-01,898209,1530173.4100000013
301,0208020V0,Warfarin Sodium,2012-05-01,884438,1451224.9700000002
302,0208020V0,Warfarin Sodium,2013-08-01,940599,1598920.1400000004
303,0208020V0,Warfarin Sodium,2015-06-01,968408,1862632.6999999995
304,0208020V0,Warfarin Sodium,2012-10-01,889272,1220957.3000000017
305,0208020V0,Warfarin Sodium,2014-10-01,1015175,1872214.5100000019
306,0208020V0,Warfarin Sodium,2011-11-01,811641,1183777.7100000007
307,0208020V0,Warfarin Sodium,2013-02-01,817928,1196619.2400000005
308,0208020V0,Warfarin Sodium,2017-08-01,796954,989072.7028200047
309,0208020V0,Warfarin Sodium,2016-01-01,889024,1438184.6600000001
310,0208020V0,Warfarin Sodium,2017-06-01,826509,1128337.1185899978
311,0208020V0,Warfarin Sodium,2016-05-01,885288,1430537.87
312,0208020V0,Warfarin Sodium,2018-04-01,689676,538024.6486499985
313,0208020X0,Dabigatran Etexilate,2013-11-01,17914,1023726.9399999995
314,0208020X0,Dabigatran Etexilate,2010-08-01,62,4643.48
315,0208020X0,Dabigatran Etexilate,2012-11-01,7526,412702.6399999997
316,0208020X0,Dabigatran Etexilate,2016-04-01,33986,1556758.410000003
317,0208020X0,Dabigatran Etexilate,2015-10-01,32318,1874029.7299999993
318,0208020X0,Dabigatran Etexilate,2017-10-01,39142,1814264.4369299947
319,0208020X0,Dabigatran Etexilate,2012-09-01,5251,292124.4599999999
320,0208020X0,Dabigatran Etexilate,2016-06-01,34832,1591201.7899999998
321,0208020X0,Dabigatran Etexilate,2010-12-01,98,8070.960000000005
322,0208020X0,Dabigatran Etexilate,2012-08-01,5013,275425.81999999983
323,0208020X0,Dabigatran Etexilate,2017-08-01,38969,1800584.27786999
324,0208020X0,Dabigatran Etexilate,2011-01-01,86,7048.630000000003
325,0208020X0,Dabigatran Etexilate,2014-12-01,29233,1701458.320000001
326,0208020X0,Dabigatran Etexilate,2013-12-01,19504,1114463.8699999996
327,0208020X0,Dabigatran Etexilate,2015-09-01,31900,1856987.7699999984
328,0208020X0,Dabigatran Etexilate,2016-01-01,31230,1820313.1199999994
329,0208020X0,Dabigatran Etexilate,2010-11-01,89,7995.59
330,0208020X0,Dabigatran Etexilate,2011-10-01,389,23865.16999999997
331,0208020X0,Dabigatran Etexilate,2015-03-01,29247,1686131.1700000004
332,0208020X0,Dabigatran Etexilate,2014-06-01,22481,1278470.9199999995
